epoch,acc,loss,val_acc,val_loss
0,0.43894,1.561006588821411,0.5275,1.3160189792633057
1,0.56032,1.2363378034591674,0.6093,1.1316162010192872
2,0.6127,1.0962657888412475,0.648,1.032346830177307
3,0.64544,1.0054149207115173,0.6763,0.9493273082733155
4,0.6682,0.9458201941490173,0.6984,0.8915200031280518
5,0.68902,0.8857750709152221,0.6969,0.8885871028900146
6,0.70698,0.8355478821182251,0.7123,0.840760895729065
7,0.7214,0.7969954167366028,0.7321,0.7998290907859802
8,0.7316,0.7682509817314148,0.7221,0.8075712425231933
9,0.74444,0.7304137665843964,0.7238,0.7949189206123352
10,0.7523,0.7025088407325745,0.7388,0.7641762317657471
11,0.7626,0.6758117744636536,0.7293,0.7841358129501342
12,0.7712,0.6464415751457214,0.7316,0.7805857051849365
13,0.77684,0.632208274974823,0.7439,0.7447855583190918
14,0.78346,0.6102437771415711,0.7488,0.7297111219406128
15,0.79216,0.591646819076538,0.7549,0.7237946393966674
16,0.79842,0.5688584524822236,0.7543,0.7237014329910278
17,0.80248,0.5553867957878112,0.7548,0.7111598907470703
18,0.813,0.5320814552116394,0.7482,0.7295004961013793
19,0.8132,0.5236438090896607,0.7596,0.7138255142211914
20,0.81788,0.5101903785324097,0.7539,0.7122323036193847
21,0.82218,0.499013763217926,0.7547,0.7180824954986572
22,0.82982,0.480099975528717,0.7568,0.7223794885635376
23,0.83006,0.4723522036743164,0.757,0.7177227741241455
24,0.83932,0.45006483375549317,0.7609,0.7037123083114624
25,0.83886,0.4474163265800476,0.7571,0.7190881032943726
26,0.84326,0.4391817659282684,0.762,0.7086518505096435
27,0.84606,0.4260260234069824,0.7559,0.7266011137008667
28,0.84994,0.42062072116851806,0.7613,0.7099916683197022
29,0.85148,0.4131173910140991,0.7614,0.7153985660552978
30,0.85534,0.4041303419113159,0.7622,0.7150573705673218
31,0.85942,0.39639362758636476,0.7655,0.7082801803588867
32,0.85858,0.3924419447135925,0.7612,0.7118881993293762
33,0.86174,0.3809493276023865,0.7655,0.7172533960342408
34,0.86356,0.37461256645202634,0.7682,0.7062054790496827
35,0.86658,0.3718136507940292,0.7605,0.7200251289367676
36,0.86858,0.3617297939109802,0.7663,0.7164413686752319
37,0.87536,0.35047330085277556,0.7639,0.7184932039260864
38,0.87324,0.34895980976104735,0.7614,0.7186827035903931
39,0.87498,0.34631131240844726,0.7639,0.7247469017028808
40,0.87824,0.33992509811401367,0.7684,0.7193214185714721
41,0.88052,0.3299506331729889,0.7635,0.7302793375968933
42,0.8799,0.3282541154670715,0.7684,0.7200642546653747
43,0.88364,0.3259963643550873,0.7652,0.729330404663086
44,0.88246,0.3229818848323822,0.7661,0.7388363719940185
45,0.88676,0.31170274913311,0.7637,0.7325161510467529
46,0.88488,0.31437774831771853,0.7634,0.7403886951446533
47,0.88684,0.30837815658569334,0.769,0.7339561420440673
48,0.8893,0.30728876110553743,0.77,0.736575343132019
49,0.89074,0.29990623933792115,0.7635,0.7340575585365295
