epoch,accuracy,loss,val_accuracy,val_loss
0,0.46691883,1.491101636,0.579900026,1.19395715
1,0.60740876,1.115205817,0.634199977,1.028657131
2,0.6658061,0.963142451,0.674199998,0.937465877
3,0.7003082,0.863401031,0.688499987,0.899223172
4,0.72474384,0.792384522,0.688300014,0.897469182
5,0.74595743,0.730035903,0.707000017,0.850807432
6,0.7665706,0.671187801,0.709100008,0.853702991
7,0.78568286,0.619124796,0.712300003,0.869374815
8,0.8005123,0.569360606,0.721899986,0.828141072
9,0.81930435,0.518933666,0.713800013,0.87320903
10,0.83755606,0.471812103,0.719200015,0.882780102
11,0.85260564,0.424540615,0.728200018,0.89131474
12,0.8707773,0.379402979,0.725000024,0.911336379
13,0.88684756,0.333933959,0.715699971,0.992290947
14,0.9004963,0.293077554,0.712100029,1.036419482
15,0.9148655,0.253584858,0.712199986,1.07254418
16,0.9279339,0.216462242,0.715399981,1.11886681
17,0.9400616,0.18253409,0.715200007,1.192335582
18,0.94990796,0.155661048,0.713699996,1.245629525
19,0.95901376,0.128959526,0.707300007,1.386091489
20,0.9679995,0.105396463,0.711300015,1.395835414
21,0.9753642,0.084056214,0.7148,1.491148583
22,0.9801273,0.069902266,0.712000012,1.551517695
23,0.9855107,0.054896875,0.70630002,1.675025647
24,0.9878322,0.04536611,0.714699984,1.689364312
25,0.9910943,0.036432299,0.709100008,1.771585702
26,0.9926753,0.030564757,0.711899996,1.79951438
27,0.9940162,0.025373106,0.712300003,1.891271641
28,0.995277,0.021279358,0.712400019,1.90827517
29,0.9972182,0.016071707,0.714100003,1.936572353
30,0.9976185,0.013155279,0.712499976,1.997272831
31,0.9978386,0.011690938,0.714299977,2.034090804
32,0.9973983,0.012866433,0.708400011,2.098432988
33,0.9981188,0.009470964,0.712400019,2.094678526
34,0.9990594,0.006375808,0.715499997,2.140652959
35,0.9986391,0.007283389,0.7148,2.144632694
36,0.99895936,0.006083435,0.712899983,2.199549676
37,0.9990194,0.005868325,0.711899996,2.221699095
38,0.9993396,0.003892053,0.707700014,2.294207551
39,0.9993796,0.004435494,0.713100016,2.251799334
40,0.9990194,0.004216581,0.711899996,2.274010976
41,0.99979985,0.002191676,0.706900001,2.329019367
42,0.99895936,0.004906455,0.706799984,2.408348151
43,0.9990794,0.0043108,0.713100016,2.321671134
44,0.99953973,0.002356748,0.715900004,2.341269255
45,0.9998599,0.001658024,0.707199991,2.418607182
46,0.9991995,0.003751425,0.71329999,2.351466852
47,0.9992195,0.003334519,0.716300011,2.379997946
48,0.9998199,0.001197498,0.712199986,2.420588654
49,0.9991394,0.003794343,0.715499997,2.412820403
50,0.99953973,0.002678455,0.71329999,2.423007372
51,0.99979985,0.001485985,0.714699984,2.43093401
52,0.9994597,0.002311885,0.702799976,2.508958672
53,0.9995197,0.002516861,0.710900009,2.471938815
54,0.9993396,0.002770363,0.709900022,2.494103834
55,0.99947965,0.0024145,0.711499989,2.484170535
56,0.9994997,0.001877934,0.709599972,2.560963364
57,0.9993796,0.002727435,0.708000004,2.531864441
58,0.9991394,0.003919324,0.708800018,2.548483333
59,0.99994,0.0006818,0.715300024,2.524989217
60,0.9994997,0.002179567,0.713199973,2.509912263
61,0.9993596,0.002061746,0.708899975,2.575040444
62,0.99998,0.000452476,0.714900017,2.532579354
63,0.9997398,0.001150095,0.71329999,2.622365307
64,0.99979985,0.001245146,0.713199973,2.549480059
65,0.9998999,0.0005859,0.702000022,2.648301614
66,0.9987992,0.004435885,0.712400019,2.613993917
67,0.9995197,0.001842258,0.707300007,2.603280362
68,0.99998,0.000510777,0.717899978,2.579312146
69,0.9995197,0.001963235,0.71450001,2.603006552
70,0.9992995,0.002591175,0.714399993,2.637899846
71,0.9996798,0.001629093,0.715600014,2.651336236
72,0.9994196,0.002390255,0.710600019,2.669244057
73,0.9997398,0.001575295,0.718100011,2.611593496
74,0.9997198,0.001048699,0.710500002,2.646868112
75,0.9988593,0.003513318,0.713699996,2.617758664
76,1,0.000308563,0.715799987,2.620918176
77,0.9992995,0.002496913,0.716099977,2.648545684
78,0.9993596,0.002586965,0.713400006,2.65106218
79,0.9995197,0.002074159,0.715300024,2.643765461
80,1,0.000226238,0.714399993,2.665421664
81,0.99969983,0.001218898,0.697799981,2.86959075
82,0.99975985,0.001161542,0.716000021,2.664496588
83,0.9988993,0.003397712,0.712100029,2.671757401
84,0.99975985,0.001436453,0.717299998,2.654086285
85,0.99887925,0.003575495,0.710799992,2.701106989
86,1,0.0002646,0.713400006,2.67371549
87,0.9997998,0.000768787,0.709200025,2.730883029
88,1,0.000178493,0.714600027,2.725456722
89,0.99927956,0.002192093,0.711000025,2.758971718
90,0.9998399,0.000822101,0.713800013,2.729011773
91,0.9997799,0.000951518,0.712400019,2.722735088
92,1,8.36E-05,0.715699971,2.712267723
93,0.9988593,0.003752937,0.71390003,2.737762964
94,0.9996798,0.001385387,0.712000012,2.740704904
95,0.99963975,0.001624547,0.709500015,2.754876981
96,0.9989193,0.00379362,0.713,2.714087735
97,0.9995197,0.001748038,0.709399998,2.74248054
98,0.9998399,0.000991898,0.71329999,2.729297786
99,1,6.10E-05,0.71420002,2.759969523
